jersey,image,season,players,story,names
18. BARCELONA (home),https://a.espncdn.com/photo/2020/0527/r702628_864x1296_2-3.jpg,Seasons worn: 1976-78,"Notable players in this kit: Johan Cruyff (pictured), Johan Neeskens","Barcelona do red-and-blue better than any other. At the time of this kit there were no sponsors (which Barca resisted all the way into the 21st century) or even kit manufacturer logos. The only thing that seemed to change was the collar, which went from V-neck to rounded and back again. Barca didn't win much during this period, despite having the likes of Cruyff and Neeskens in their ranks, but they looked great nonetheless.",Barca
19. PALERMO (home),https://a.espncdn.com/photo/2020/0527/r702628_864x1296_2-3.jpg,Seasons worn: 2014-15,Notable players in this kit: Paulo Dybala (pictured),"Get ready for the most poetic colour choice of any team ever. Palermo had previously worn red-and-blue shirts, but Count Giuseppe Airoldi, a prominent founding member of the club, suggested pink and black as they are ""colours of the sad and the sweet"" and would suit a football team with ""results as up and down as a Swiss clock."" You could pick any Palermo kit really, but this one from 2014-15 wins it for us.",Palermo
22. MANCHESTER UNITED (away),https://a.espncdn.com/photo/2020/0527/r702623_864x1296_2-3.jpg,Seasons worn: 1990-92,"Notable players in this kit: Mark Hughes (pictured), Paul Ince, Brian McClair, Dennis Irwin","This snazzy blue-and-white zigzag design has aged remarkably well. United were on the cusp of greatness at the time having just won the FA Cup, their first trophy under Sir Alex Ferguson, and in the two years with this away kit, they won the Cup Winners' Cup, League Cup and European Super Cup. The following season, they won the first of their 13 league titles under Ferguson.",United
23. WEST HAM UNITED (home),https://a.espncdn.com/photo/2020/0527/r702622_864x1296_2-3.jpg,Seasons worn: 1999-2001,"Notable players in this kit: Paolo Di Canio (pictured), Trevor Sinclair","For those who saw it at the time, it's impossible to look at this West Ham kit without thinking of *that* Di Canio goal against Wimbledon. The mercurial Italian scored 47 Premier League goals in his 3½ years wearing claret and blue. He is still clinging on to that club record with Hammers captain Mark Noble just one goal behind him.",Di Canio
24. LAZIO (home),https://a.espncdn.com/photo/2020/0527/r702621_864x1296_2-3.jpg,Seasons worn: 1998-99,"Notable players in this kit: Christian Vieri (pictured), Roberto Mancini, Diego Simeone, Pavel Nedved, Juan Veron","Around the turn of the century, Lazio had some great players in some superb kits. But this one, with its black band across the chest, was so good they recommissioned this season to mark the club's 120th anniversary. Back in 1999, they won the Supercoppa Italiana, UEFA Cup Winners Cup and came in second in Serie A before going on to win the league the following year.",Lazio
25. AJAX (home),https://a.espncdn.com/photo/2020/0527/r702619_864x1296_2-3.jpg,Seasons worn: 1994-95,"Notable players in this kit: Frank Rijkaard (pictured), Patrick Kluivert, Edgar Davids, Marc Overmars, Clarence Seedorf","Ajax have such an iconic kit that you could pick one from any season and it would make the list. The 1994-95 season was just as good for Ajax on the pitch -- they won the Champions League, Eredivisie and Johan Cruyff Shield -- as it was for their kits. The Amsterdam giants kept the distinctive sponsor logo of Dutch bank ABN-AMRO turned on its side until 2008.",Ajax
26. JAPAN (home),https://a.espncdn.com/photo/2020/0527/r702619_864x1296_2-3.jpg,Seasons worn: World Cup 1998,Notable players in this kit: Hidetoshi Nakata (pictured),"Flames on the arms. Flames on the actual arms. Japan started using that distinctive motif on their kit in 1996. Asics provided the kit for the 1996 Olympics, but Adidas became the kit sponsor for the 1998 World Cup and stuck with the same design.",Adidas
27. AUSTRALIA (home),https://a.espncdn.com/photo/2020/0527/r702618_864x1296_2-3.jpg,Seasons worn: 1990-93,"Notable players in this kit: Robbie Slater (pictured), Kevin Muscat, Tony Vidmar, Ned Zelic","Just as great art isn't always appreciated in the artist's lifetime, this abstract kit was widely derided upon its release but has gone on to become a cult classic. Designed by KingRoo, each jersey was actually slightly different from the last as they weren't able to regulate the print across a range of sizes. At the time, opposition players refused to swap shirts after games, but Aussie fans have since come to love what they have dubbed the ""spew shirt"" due to its unruly brushstrokes and bright colours. The Socceroos qualified for the 1992 Olympics, where they just missed out on bronze, wearing it.",KingRoo
28. BARCELONA (away),https://a.espncdn.com/photo/2020/0521/r700889_864x1296_2-3.jpg,Seasons worn: 1995-97,"Notable players in this kit: Ronaldo (pictured), Pep Guardiola, Luis Figo, Hristo Stoichkov, Luis Enrique","This jersey's teal oblongs with red and blue flourishes, matched with classic Kappa logo down the sleeves, ensured Ronaldo looked good during his one season at Barcelona, when he won the FIFA World Player of the Year award for the first time.",Kappa
29. UNITED STATES (away),https://a.espncdn.com/photo/2020/0527/r702617_864x1296_2-3.jpg,Seasons worn: World Cup 1994,"Notable players in this kit: Alexi Lalas (pictured), Cobi Jones, Roy Wegerle, Eric Wynalda","When the World Cup rocked up to the U.S. in 1994, Adidas and U.S. Soccer wanted to produce a memorable kit for the hosts. They certainly managed it with this shirt that is supposed to look like denim -- and, originally was intended to be made of denim. When the players were shown it, Lalas assumed it was a prank, later admitting: ""I'd be lying if I said people weren't looking around for the hidden camera."" And yet, the denim print (which was literally photocopied from the original design) with floating stars has since come to represent that tournament perfectly: unapologetically brash, wild and memorable.",Lalas
30. CORINTHIANS (third),https://a.espncdn.com/photo/2020/0527/r702615_864x1296_2-3.jpg,Seasons worn: 2018-19,"Notable players in this kit: Mateus Vital (pictured), Douglas, Jadson, Gabriel","When football meets Formula 1. Motor racing legend Ayrton Senna was a big Corinthians fan, and in 2018, the Sao Paulo club released a third shirt honouring the 30th anniversary of the Formula 1 racing legend's first world championship, an event still cherished by Brazilians. The kit included the trademark black and gold of Senna's Lotus F1 cars, 41 golden lines representing the number of victories he achieved and his signature in place of a sponsor across the front.",Formula 1
31. ARGENTINA (away),https://a.espncdn.com/photo/2020/0527/r702614_864x1296_2-3.jpg,Seasons worn: World Cup 1986,"Notable players in this kit: Diego Maradona (pictured), Jorge Valdano, Daniel Passarella","Look away now, England fans, it's the kit that Diego Maradona wore when he punched the ball into Peter Shilton's goal and somehow got away with what would become known as his ""Hand of God"" goal. Maradona also scored one of the greatest solo goals ever a few minutes later. And, according to FIFA, the story behind this particular shirt also involves Maradona. Argentina coach Carlos Bilardo decided the blue cotton Aertex shirts would not be comfortable in the scorching sunshine of Mexico City. So, hours before the game, he instructed one of his coaches to head to a local sports store and buy something lighter. The coach brought back two blue kits and Maradona got to decide. He pointed to one and said: ""That's a nice jersey. We'll beat England in that.""",Diego Maradona
32. AC MILAN (home),https://a.espncdn.com/photo/2020/0527/r702613_864x1296_2-3.jpg,Seasons worn: 1990-92,"Notable players in this kit: Marco van Basten (pictured), Ruud Gullit, Frank Rijkaard","Milan's clubs must surely be the most consistent purveyors of quality uniforms out there, perhaps no surprise as they are based in one of the world's fashion capitals. This one, from 1990 to '92, with its untouched black-and-red stripes echoed in the collar and tiny Adidas trefoil, is an exemplary incarnation of one of world football's most iconic kits.",
33. RAYO VALLECANO (third),https://a.espncdn.com/photo/2020/0527/r702613_864x1296_2-3.jpg,Seasons worn: 2015-16,"Notable players in this kit: Pablo Hernandez (pictured), Razvan Rat, Bebe","A club known for their strides toward social justice, Madrid-based Rayo put a rainbow on their 2015-16 third kit, with each colour representing a different marginalised group in society. Red for those tackling cancer, orange for disabled people, yellow for ""those who have lost hope,"" green for people striving to protect the environment, blue for those fighting against child abuse and pink for the victims of domestic violence, while the rainbow itself was support for the LGBT community. They donated €7 from the sale of each shirt to charities fighting for each cause.",Rayo
34. AS MONACO (home),https://a.espncdn.com/photo/2020/0611/r707388_864x1296_2-3.jpg,Seasons worn: 1984-85,"Notable players in this kit: Daniel Bravo (pictured), Philippe Anziani, Bernard Genghini","Monaco's distinctive kit template was designed by Oscar-winning actress Grace Kelly, who became Princess Grace of Monaco when she married Prince Rainier III in 1956. Her royal duties included designing the fledgling AS Monaco's kit, changing their red-and-white stripes to the diagonal they wear today. It had an instant impact, as they won their first French championship a year later. This 1985 version by Adidas is one of the best incarnations.",Grace Kelly
35. LIVERPOOL (away),https://a.espncdn.com/photo/2020/0527/r702612_864x1296_2-3.jpg,Seasons worn: 1995-96,"Notable players in this kit: Steve McManaman (pictured), Robbie Fowler, John Barnes, Jamie Redknapp","Liverpool first had a taste of green as their away kit four years earlier but really pushed the boat out with this quartered kit design. They wore this kit in the 1996 FA Cup final defeat to bitter rivals Manchester United. However, it is the awful cream suits worn by Jamie Redknapp, David James and the rest of Liverpool's ""Spice Boys"" upon arriving at Wembley that live longest in the memory from that day.",Liverpool
36. GREMIO (home),https://a.espncdn.com/photo/2020/0611/r707387_864x1296_2-3.jpg,Seasons worn: 1963,Notable players in this kit: Everaldo (pictured),"Gremio's club colours were originally inspired by those of English club Exeter City. After various different versions, they landed on black-and-blue stripes with white piping in 1928. The gold star above the Porto Alegre-based club's crest is in honour of legendary full-back Everaldo, who won the World Cup with Brazil in 1970.",Gremio
37. REAL MADRID (home),https://a.espncdn.com/photo/2020/0527/r702611_864x1296_2-3.jpg,Seasons worn: 1994-96,"Notable players in this kit: Fernando Redondo (pictured), Clarence Seedorf, Raul, Fernando Hierro, Michael Laudrup","This kit is all about manufacturer Kelme, a tiny Spanish company more known for its cycling apparel that supplied shirts for European football giants. Their iconic little paw print down the sleeves is certainly distinctive. Kelme now provide kits for Premier League side Watford.",Kelme
38. TOTTENHAM HOTSPUR (home),https://a.espncdn.com/photo/2020/0519/r700147_864x1296_2-3.jpg,Seasons worn: 1985-87,"Notable players in this kit: Glenn Hoddle (pictured), Chris Waddle, Diego Maradona","When Hummel became Spurs' kit manufacturer in 1985, they made a splash by bucking almost a century of tradition with the introduction of navy to the front of the kit. The classic Hummel chevrons were there too, down the arm. They changed the shorts from navy to white, which was another big departure. And no, that's not a typo, Diego Maradona really did play for Tottenham in this kit, during Ossie Ardiles' testimonial against Inter Milan in May 1986.",Hummel
40. INTER MILAN (away),https://a.espncdn.com/photo/2020/0527/r702609_864x1296_2-3.jpg,Seasons worn: 1995-96,"Notable players in this kit: Maurizio Ganz (pictured), Roberto Carlos, Javier Zanetti, Paul Ince","Not a memorable season for Inter as they finished seventh, had three managers and went out of the UEFA Cup in the first round to Lugano. But they did it all looking resplendent in their white away kit with jazzy black and blue panels on the shoulders that had flashes of their badge in gold.",
41. COLOMBIA (home),https://a.espncdn.com/photo/2020/0519/r700146_864x1296_2-3.jpg,Seasons worn: World Cup 2018,"Notable players in this kit: Radamel Falcao (pictured), James Rodriguez, Juan Cuadrado","Adidas decided to go retro in 2018; almost all of their World Cup kits were nods to previous designs. Colombia's was an updated version of their 1990 effort. It was one of the most popular kits of the tournament. Los Cafeteros did exactly as well as they did in Italia '90, too, reaching the round of 16.",Adidas
42. TOTTENHAM HOTSPUR (away),https://a.espncdn.com/photo/2020/0519/r700146_864x1296_2-3.jpg,Seasons worn: 1994-95,"Notable players in this kit: Jurgen Klinsmann (pictured), Teddy Sheringham, Gheorghe Popescu","Think of Klinsmann's one full season at Tottenham (he would return on loan in 1997-98 to help steer the club clear of relegation) and you'll probably think of him in Umbro kit, with its navy blue backing and dark purple brush stroke pattern on the front and one arm. Wearing it when he scored on his Spurs debut, he celebrated by theatrically throwing himself to the floor in a riposte to criticism from those in the British press who had accused him in the past of diving.",Klinsmann
43. ARSENAL (home),https://a.espncdn.com/photo/2020/0526/r702338_864x1296_2-3.jpg,Seasons worn: 2019-20,"Notable players in this kit: Mesut Ozil (pictured), Pierre-Emerick Aubameyang, Alexandre Lacazette","Based on the kit from the title-winning 1988-89 season, Adidas somehow managed to make the 2019-20 update even better than the original. It was the first time in 25 years that the German manufacturer had returned to make the Gunners' kits, so it made sense to go back to a classic. Former Arsenal star Ian Wright leaked the kit on Instagram before it was officially launched, although that slip of the thumb ramped up the pre-release clamour and sales went up an incredible 84% on the previous season's strip.",Gunners
44. BOTAFOGO (home),https://a.espncdn.com/photo/2020/0526/r702331_864x1296_2-3.jpg,Seasons worn: 1963-70,"Notable players in this kit: Garrincha (pictured), Nilton Santos","Botafogo wore simple stripes for most of the 1960s and '70s and had some incredible players wearing them, none more so than the incomparable Garrincha. The inclusion of the stunning lone star badge (a nod to Botafogo's inception as a rowing club) elevates this shirt.",
45. ENGLAND WOMEN (away),https://a.espncdn.com/photo/2020/0526/r702328_864x1296_2-3.jpg,Seasons worn: 2019,"Notable players in this kit: Steph Houghton (pictured), Fran Kirby, Ellen White, Lucy Bronze","It seems almost embarrassing that it took until 2019 for the English women's team to get their own kit, but when they did it was worth the wait. The home kit was classic white with dark red trim, but the away strip, in ""dark red crush"" as Nike dubbed it, featured an interwoven design with flora from across the country. England forward Fran Kirby said: ""It is great to see kits designed specifically with us in mind."" The Lionesses lost in the semifinal to eventual winners the U.S. after a valiant run.",Nike
46. NETHERLANDS (home),https://a.espncdn.com/photo/2020/0526/r702323_864x1296_2-3.jpg,Seasons worn: Euro 1988,"Notable players in this kit: Ruud Gullit (pictured), Marco van Basten, Ronald Koeman, Frank Rijkaard","That Adidas template is back, and this is how it is best remembered; Gullit's dreadlocks, Rijkaard's guile and *that* Marco van Basten volley as the Dutch beat the Soviet Union in Munich to claim their only major international title.",Adidas
47. BORUSSIA DORTMUND (home),https://a.espncdn.com/photo/2020/0526/r702320_864x1296_2-3.jpg,Seasons worn: 1996-97,"Notable players in this kit: Lars Ricken (pictured), Matthias Sammer, Andreas Moller, Karl-Heinz Riedle","Dortmund wore this kit on the road to winning their first Champions League title, but they didn't actually wear it in the final. Instead, they decided to showcase their (inferior) home kit for the following season. This one had that bright yellow base with the black tyre track marks down the bottom half of the shirt and giant black C of Die Continentale -- somehow making a German insurance company cool.",Champions League
48. FRANCE (home),https://a.espncdn.com/photo/2020/0526/r702318_864x1296_2-3.jpg,Seasons worn: 1984-86,"Notable players in this kit: Michel Platini (pictured), Alain Giresse, Jean Tigana, Luis Fernandez","The kit that spawned a thousand kits, Adidas hit on something when they designed France's outfit for the 1984 European Championship, hosted on home soil. It was the first time red had been used as a main colour on a France shirt (not including collar trim in the past) and not only was it a hit, so were France. They won their first major tournament that summer and went on to win two more trophies, the 1998 World Cup and Euro 2000, in kits heavily influenced by this one.",Adidas
49. WALES (home),https://a.espncdn.com/photo/2020/0530/r703677_864x1296_2-3.jpg,Seasons worn: 1980-84,"Notable players in this kit: Ian Rush, Terry Yorath","After UK-based manufacturer Admiral hit financial issues, Adidas stepped in and gave Wales white sleeves. At the time it was seen as just another kit, but has since become something of a cult classic. Which is a bit odd, as the Wales teams that wore it did absolutely nothing spectacular; the closest they came to glory was missing out on the 1982 World Cup on goal difference.",Adidas
50. NIGERIA (home),https://a.espncdn.com/photo/2020/0526/r702310_864x1296_2-3.jpg,Seasons worn: World Cup 2018,"Notable players in this kit: John Obi Mikel (pictured), Victor Moses, Ahmed Musa","Easily the most popular shirt at the 2018 World Cup. Released in January 2018, Nike dubbed the kit a ""subtle homage to Nigeria's '94 shirt."" It was an instant hit with 3 million people preordering it. Despite the hype, Nigeria failed to make it out of their group in Russia.",Nike
51. WEST GERMANY (home),https://a.espncdn.com/photo/2020/0526/r702310_864x1296_2-3.jpg,Seasons worn: World Cup 1990,"Notable players in this kit: Jurgen Klinsmann (pictured), Lothar Matthaus","This kit's sloped triple stripe of black, red and gold marked a bold new direction for Adidas. It would also go on to be the first kit worn by a reunified Germany national team (in in December 1990) following the fall of the Berlin Wall.",Adidas
52. BRAZIL (home),https://a.espncdn.com/photo/2020/0526/r702306_864x1296_2-3.jpg,Seasons worn: World Cup 1970,"Notable players in this kit: Rivellino (pictured), Pele, Jairzinho, Carlos Alberto","Brazil originally played in white, but fans demanded change after the Selecao lost the 1950 World Cup final to neighbours Uruguay on home soil. After a public competition they switched to yellow and green and began sweeping all before them. At the 1970 World Cup, where they won their third title, they wore this classic kit but actually had two different versions with them in Mexico; a traditional cotton shirt made by longtime and local manufacturer Athlete and a newer, lighter weight one by Umbro. Each game they wore the old one for the first 45 minutes and the newer one for the second 45 minutes and went on to win.",Selecao
53. WEST GERMANY (away),https://a.espncdn.com/photo/2020/0526/r702300_864x1296_2-3.jpg,Seasons worn: World Cup 1990,"Notable players in this kit: Lothar Matthaus (pictured), Jurgen Klinsmann","There is a long-standing myth that West Germany's change colour is green because the first team they played after World War II was Ireland. Sadly this isn't true. Their first post-war opponent was Switzerland in 1950, Ireland were their fourth a year later. The colour actually came from the German Football Association (DFB)'s logo, and they first wore green against Turkey in June 1951. This incarnation, the same funky Adidas template that the Netherlands wore as they won Euro '88, brought the Germans similar luck, although they only wore it just once; that night in Turin against England in the semifinals of Italia '90.",the German Football Association
54. CROATIA (home),https://a.espncdn.com/photo/2020/0526/r702297_864x1296_2-3.jpg,Seasons worn: World Cup 1998,"Notable players in this kit: Davor Suker (pictured), Zvonimir Boban, Robert Prosinecki","Croatia have worn red-and-white squares ever since they gained independence in 1991, save for Kappa's bland all-red jerseys of 1994. At their first World Cup in 1998, Croatia turned up in these beauties, with the checks draped over the shoulder like someone was whipping off a tablecloth. They came in third and this kit went down in history.",Croatia
55. RIVER PLATE (home),https://a.espncdn.com/photo/2020/0611/r707386_864x1296_2-3.jpg,Seasons worn: 1985-88,"Notable players in this kit: Antonio Alzamendi (pictured), Claudio Caniggia, Nelson Gutierrez","Another sash, and a classic of the genre. Adidas remain River's kit manufacturers to this day -- the deal is second only to Bayern Munich as the German kit-maker's longest. This kit was worn by the team that won an impressive Treble of the Intercontinental Cup, the Copa Libertadores and Argentina's Primera Division.",Bayern Munich
56. ENGLAND (home),https://a.espncdn.com/photo/2020/0526/r702291_2_864x1296_2-3.jpg,Seasons worn: 1982-83,"Notable players in this kit: Kevin Keegan (pictured), Trevor Francis, Glenn Hoddle","The great manager Brian Clough, never one to mince words, wrote in a column when this jersey was released: ""The wraps are off England's new kit, and I'm saying now I don't like it. It has the looks of one of my mother's old pinnies!"" But Admiral stuck by their design, made ""shinier"" to impress under floodlights and on TV and, thanks to a half-decent 1982 World Cup appearance, it became cherished.",Brian Clough
57. CELTIC (home),https://a.espncdn.com/photo/2020/0526/r702288_864x1296_2-3.jpg,Seasons worn: 1965-72,"Notable players in this kit: Bobby Lennox (pictured), Jimmy Johnstone, Willie Wallace","For Celtic fans, the hoops are sacrosanct and the same went for the traditionalist chairman Robert Kelly, who in the 1960s refused to put numbers on the back of the shirts because it would break the sacred green and white. No wonder their 1967 European Cup-winning side looked so resplendent. But they could not resist the modern way forever, and they finally began wearing numbers on their backs in 1994.",Robert Kelly
58. NEW YORK COSMOS (home),https://a.espncdn.com/photo/2020/0526/r702287_864x1296_2-3.jpg,Seasons worn: 1975,"Notable players in this kit: Pele (pictured), Werner Roth","New York Cosmos played in green for the first five years of their existence until they signed Pele in 1975. Because of his success at Santos, who played in white, the Cosmos changed their home colours to white with green trim. Did it work? Well, they did finally win the NASL Championship in 1977, Pele's final season.",Cosmos
59. PALMEIRAS (home),https://a.espncdn.com/photo/2020/0526/r702275_864x1296_2-3.jpg,Seasons worn: 1992-93,"Notable players in this kit: Roberto Carlos (pictured), Rivaldo","Palmeiras had suffered 20 years of disappointment before they donned this pea green, white pinstriped shirt and promptly swept all before them. Two youngsters called Roberto Carlos and Rivaldo helped them win the Campeonato Paulista, Rio-Sao Paulo Championship and Campeonato Brasileiro.",Palmeiras
60. PARIS SAINT-GERMAIN (home),https://a.espncdn.com/photo/2020/0611/r707385_864x1296_2-3.jpg,Seasons worn: 1977-78,"Notable players in this kit: Jean-Michel Larque (pictured), Johan Cruyff","PSG were formed in 1970 after the merger of Paris Football Club and Stade Saint-Germain, and they began wearing this red stripe with white piping on a navy background in 1974. They wore variations of the kit created by fashion designer Daniel Hechter, who was the club's president at the time, until 1981. Johan Cruyff was such a fan of Hechter that he played two games for PSG in a preseason tournament in 1975.",Paris Football Club
61. TAMPA BAY ROWDIES (home),https://a.espncdn.com/photo/2020/0526/r702274_864x1296_2-3.jpg,Seasons worn: 1978-81,"Notable players in this kit: Rodney Marsh (pictured), John Wegerle, John Gorman","This kit, with the word ""Rowdies"" emblazoned across the front, is peak NASL, peak 1970s aesthetic and peak America. Did you know the club had a ""Rowdiest Fan"" contest, won by a guy donning a giant soccer hat and chucking himself into the goal? Everyone loved it so much he became a de facto mascot. The club also encouraged the crowd to ""Get up, get out and get Rowdy!"" and their fans were known as ""Fannies.""",NASL
62. BAYERN MUNICH (home),https://a.espncdn.com/photo/2020/0530/r703671_864x1296_2-3.jpg,Seasons worn: 1995-97,"Notable players in this kit: Jurgen Klinsmann (pictured), Markus Babbel, Mehmet Scholl, Dietmar Hamann","Bayern wore this for two years and won two Bundesliga titles in it. They have never looked better than when they had this shirt, thanks to its chunky bars of colour flanked with pinstripes.",Bundesliga
63. CENTRAL COAST MARINERS (home),https://a.espncdn.com/photo/2020/0530/r703671_864x1296_2-3.jpg,Seasons worn: 2015-16,Notable players in this kit: Luis Garcia (pictured),"When an Australian football kit is also an ad for the tourism board. Shaun Mielekamp, CEO of the NSW-based A-League club, said at the time: ""The palm tree design is a call nationally to all sports fans to pencil in a visit to Central Coast Stadium, where there are water views from every seat and a matchday experience you will never forget.""",Shaun Mielekamp
64. CLUB AMERICA (home),https://a.espncdn.com/photo/2020/0526/r702264_864x1296_2-3.jpg,Seasons worn: 1993-94,"Notable players in this kit: Luis Roberto Alves  ""Zague"" (pictured), Cuauhtemoc Blanco","Club America have a thing for excellent kits, but they really hit the heights here. The Mexican side boldly went with the sponsor above their own badge, with both neatly sat in a giant blue triangle with red trim on a yellow shirt. Just incredible.",
65. SWEDEN (home),https://a.espncdn.com/photo/2020/0526/r702261_864x1296_2-3.jpg,Seasons worn: Euro 1992,"Notable players in this kit: Tomas Brolin (pictured), Stefan Schwarz, Kennet Andersson, Anders Limpar","When you throw a party you have to turn out well, and that's what Sweden did when hosting Euro '92 by wearing one of the best kits of the tournament. It's an Adidas template we've seen before, but the strong yellow and blue trim (with Adidas trefoil shadow print) is truly iconic and we saw a lot of it as Brolin & Co. made the semis.",Brolin & Co.
66. CHICAGO FIRE (home),https://a.espncdn.com/photo/2020/0526/r702298_864x1296_2-3.jpg,Seasons worn: 1999,"Notable players in this kit: Lubos Kubik (pictured), Ante Razov, Piotr Now, Chris Armas","This jersey literally has the word ""FIRE"" on it, what's not to love? Sadly, in 2008 the club replaced that with a sponsor. This effort, from their second season in MLS, came off the back of winning MLS Cup and the US Open Cup in their first year.",MLS
